,Baltimore,Orioles,BAL
,Boston,Red Sox,BOS
,New York,Yankees,NYY
,Tampa Bay,Rays,TB
,Toronto,Blue Jays,TOR
,Atlanta,Braves,ATL
,Miami,Marlins,MIA
,New York,Mets,NYM
,Philadelphia,Phillies,PHI
,Washington,Nationals,WSH
,Chicago,White Sox,CHW
,Cleveland,Indians,CLE
,Detroit,Tigers,DET
,Kansas City,Royals,KC
,Minnesota,Twins,MIN
,Chicago,Cubs,CHC
,Cincinnati,Reds,CIN
,Milwaukee,Brewers,MIL
,Pittsburgh,Pirates,PIT
,St. Louis,Cardinals,STL
,Houston,Astros,HOU
,Los Angeles,Angels,LAA
,Oakland,Athletics,OAK
,Seattle,Mariners,SEA
,Texas,Rangers,TEX
,Arizona,Diamondbacks,ARI
,Colorado,Rockies,COL
,Los Angeles,Dodgers,LAD
,San Diego,Padres,SD
,San Francisco,Giants,SF
