,Boston,Celtics,BOS
,Brooklyn,Nets,BKN
New York,New York,Knickss,NY
,Philadelphia,76ers,PHI
Toronto,Toronto,Raptors,TOR
,Golden State,Warriorss,GS
,Los Angeles,Clippers,LAC
L.A. Lakers,Los Angeles,Lakers,LAL
,Phoenix,Suns,PHX
Sacramento,Sacramento,Kings,SAC
,Chicago,Bulls,CHI
,Cleveland,Cavaliers,CLE
,Detroit,Pistons,DET
,Indiana,Pacers,IND
,Milwaukee,Bucks,MIL
,Dallas,Mavericks,DAL
Houston,Houston,Rockets,HOU
,Memphis,Grizzlies,MEM
New Orleans,New Orleans,Pelicanss,NO
San Antonio,San Antonio,Spurss,SA
,Atlanta,Hawks,ATL
Charlotte,Charlotte,Hornets,CHA
,Miami,Heat,MIA
,Orlando,Magic,ORL
Washington,Washington,Wizards,WSH
Denver,Denver,Nuggets,DEN
,Minnesota,Timberwolves,MIN
Oklahoma City,Oklahoma City,Thunder,OKC
Portland,Portland,Trail Blazers,POR
,Utah,Jazz,UTAH
